"","Round","Player","PPTS","PASST","PREBS","ALL"
"1","CT","LeBron James",0.152466367713004,0.247252747252747,0.106451612903226,0.168723575956326
"2","CI","LeBron James",0.176169590643275,0.201492537313433,0.127041742286751,0.168234623414486
"3","CB","LeBron James",0.172794117647059,0.217712177121771,0.107876712328767,0.166127669032532
"4","GC","LeBron James",0.167407407407407,0.214765100671141,0.104651162790698,0.162274556956415
"5","UO","Russell Westbrook",0.141935483870968,0.206422018348624,0.132110091743119,0.160155864654237
"6","RW","John Wall",0.120184899845917,0.252747252747253,0.0703933747412008,0.147775175778123
"7","NP","Rajon Rondo",0.0511363636363636,0.291208791208791,0.0864553314121038,0.142933495419086
"8","GC","Kevin Durant",0.140740740740741,0.134228187919463,0.12015503875969,0.131707989139965
"9","BM","Giannis Antetokounmpo",0.125874125874126,0.144262295081967,0.117132867132867,0.12908976269632
"10","PM","Ben Simmons",0.0836397058823529,0.178571428571429,0.116483516483516,0.126231550312433
"11","CI","Victor Oladipo",0.116228070175439,0.156716417910448,0.105263157894737,0.126069215326874
"12","HU","James Harden",0.135135135135135,0.180487804878049,0.0596330275229358,0.12508532251204
"13","GR","James Harden",0.139486467730743,0.16030534351145,0.0656565656565657,0.12181612563292
"14","GS","Draymond Green",0.0563241106719368,0.174672489082969,0.131764705882353,0.12092043521242
"15","HM","James Harden",0.136792452830189,0.171296296296296,0.0542986425339367,0.120795797220141
"16","GP","Draymond Green",0.0668473351400181,0.172413793103448,0.121900826446281,0.120387318229916
"17","GR","Draymond Green",0.0402498265093685,0.179389312977099,0.13973063973064,0.119789926405702
"18","GS","Kevin Durant",0.139328063241107,0.11353711790393,0.101176470588235,0.118013883911091
"19","GR","Stephen Curry",0.121443442054129,0.152671755725191,0.0774410774410774,0.117185425073466
"20","HU","Chris Paul",0.118725868725869,0.151219512195122,0.0802752293577982,0.116740203426263
"21","BP","Joel Embiid",0.109628217349857,0.0789473684210526,0.154867256637168,0.114480947469359
"22","UO","Ricky Rubio",0.067741935483871,0.192660550458716,0.0807339449541284,0.113712143632238
"23","GC","Stephen Curry",0.108148148148148,0.154362416107383,0.0697674418604651,0.110759335371999
"24","RW","Kyle Lowry",0.0793528505392912,0.183150183150183,0.0600414078674948,0.107514813852323
"25","GP","Rajon Rondo",0.043360433604336,0.196551724137931,0.0785123966942149,0.106141518145494
