Rk,Player,Pos,Age,Tm,G,MP ▼,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,LeBron James,PF,33,CLE,19,790,33.7,0.624,0.229,0.414,3.9,22.5,13.2,46.3,1.7,2.3,13,36.2,,3.9,1,4.9,0.296,,10.9,4,14.9,3.4
2,Draymond Green,PF,27,GSW,18,700,16.7,0.527,0.407,0.262,6.3,25.6,16.3,28,2.7,3.5,23.8,16,,0.6,1.7,2.3,0.156,,1.5,6,7.5,1.7
3,Terry Rozier,PG,23,BOS,19,696,17.3,0.538,0.553,0.211,1.3,15.5,8.2,26.3,1.8,0.8,7,20.7,,1.3,0.9,2.2,0.149,,3.6,0.9,4.5,1.1
4,Klay Thompson,SG,27,GSW,18,691,14.6,0.58,0.451,0.094,1.8,9.6,5.8,7.9,1,0.6,7.8,22.3,,0.8,0.8,1.6,0.114,,2.5,-1.4,1.1,0.5
5,Kevin Durant,PF,29,GSW,18,688,23.7,0.589,0.323,0.354,1.8,18.1,10.2,18.6,0.9,2.5,8.7,31.1,,1.9,1.1,3,0.21,,4.7,0.1,4.8,1.2
6,Jayson Tatum,SF,19,BOS,19,683,16.2,0.578,0.272,0.372,1.6,12.6,7,13.3,1.7,1.3,11.9,23.3,,0.8,0.8,1.6,0.116,,0.6,0.7,1.3,0.6
7,Al Horford,C,31,BOS,19,679,20.1,0.631,0.211,0.368,5.3,21.6,13.3,15.8,1.4,2.9,11.9,18.3,,1.7,1,2.7,0.192,,2.2,3.3,5.5,1.3
8,James Harden,SG,28,HOU,17,621,25,0.548,0.452,0.345,2.5,13.6,7.9,35.9,3.1,1.6,12.8,36.7,,1.3,0.9,2.1,0.164,,6,1.7,7.7,1.5
9,J.R. Smith,SG,32,CLE,19,616,6.7,0.496,0.647,0.122,1.8,8.6,5.2,5.3,1.4,0.6,9.9,13.9,,-0.1,0.4,0.3,0.027,,-2.1,0.4,-1.7,0
10,Jaylen Brown,SG,21,BOS,18,583,16.1,0.563,0.421,0.188,3.1,14.3,8.6,8.3,1.2,1.5,7.4,24.6,,0.6,0.7,1.3,0.105,,1.4,-0.7,0.7,0.4
